listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
21,82,174,38,2,gunshots,gun,gunshots,1,high-intensity,1,0,1,0.4
21,83,57,34,2,water boiling,bubbling,water boiling,1,low-intensity,1,0,1,0.4
21,83,228,2,2,water boiling,bubbling,water boiling,1,low-intensity,1,0,1,0.4
21,87,99,2,5,hand saw,saw,hand saw,1,high-intensity,1,0,1,0.4
21,87,246,41,5,hand saw,saw,hand saw,1,high-intensity,1,0,1,0.4
21,91,120,42,6,monkey screaming,monkey,monkey screaming,1,high-intensity,1,0,1,0.2
21,91,249,44,6,monkey screaming,monkey,monkey screaming,1,high-intensity,1,0,1,0.2
21,92,68,48,3,slicing bread,nan,phone vibrating,0.5,low-intensity,0,1,1,0.4
21,92,157,17,3,slicing bread,nan,slicing bread,0.5,low-intensity,0,1,1,0.4
21,96,54,15,1,hammering metal,chime,music box,0,high-intensity,0,0,1,0.4
